Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%
35,Eric Belanger\belaner01,30,MIN,C,75,811,818,49.8,0.4,619,640,49.2,0.7,8.7,91.2,99.9,38.8,61.2,16:60,12:16,40,35,230,50.0
36,Brendan Bell\bellbr02,24,PHX,D,2,13,24,35.1,-19.2,11,19,36.7,-14.8,0.0,88.2,88.2,80.0,20.0,14:49,13:34,0,0,2,0.0
37,Mark Bell\bellma01,27,TOR,LW,35,256,285,47.3,-6.8,195,209,48.3,-5.3,11.1,89.5,100.7,51.3,48.8,9:45,8:54,13,10,75,56.0
38,Bryan Berard\berarbr01,30,NYI,D,54,661,658,50.1,-2.3,487,499,49.4,-2.5,6.5,91.4,97.8,45.5,54.5,17:39,13:09,19,37,206,42.2
39,Sean Bergenheim\bergese01,23,NYI,LW,78,820,719,53.3,1.4,610,554,52.4,0.8,6.2,92.3,98.5,49.8,50.2,11:15,10:34,42,28,251,61.8
40,Marc-Andre Bergeron\bergema02,27,TOT,D,55,645,616,51.1,0.0,484,475,50.5,-0.3,6.1,90.8,96.9,49.4,50.6,17:24,12:48,24,43,218,49.5
41,Patrice Bergeron\bergepa01,22,BOS,C,10,109,97,52.9,6.0,88,76,53.7,6.9,8.1,93.9,101.9,46.2,53.8,18:10,11:35,10,3,45,53.3
42,Niclas Bergfors\bergfni01,20,NJD,RW,1,6,8,42.9,,5,4,55.6,,0.0,75.0,75.0,100.0,0.0,11:17,8:42,0,0,3,100.0
43,Steve Bernier\bernist01,22,TOT,RW,76,717,659,52.1,-1.1,544,464,54.0,-0.1,9.1,89.5,98.6,55.3,44.7,13:09,10:39,17,25,207,63.3
44,Adam Berti\bertiad01,21,CHI,LW,2,12,13,48.0,7.3,9,11,45.0,0.3,0.0,100.0,100.0,60.0,40.0,10:07,9:56,0,0,2,50.0
45,Todd Bertuzzi\bertuto01,32,ANA,LW,68,664,653,50.4,-6.1,533,524,50.4,-5.2,11.0,91.8,102.8,59.1,40.9,16:27,12:33,20,50,171,70.2
46,Blair Betts\bettsbl01,27,NYR,C,75,483,486,49.8,-8.4,366,341,51.8,-7.6,4.5,93.7,98.2,48.9,51.1,11:52,8:51,32,11,134,63.4
47,Bryan Bickell\bickebr01,21,CHI,LW,4,31,16,66.0,19.0,26,13,66.7,17.2,0.0,90.0,90.0,60.0,40.0,9:08,8:54,1,0,5,60.0
48,Kevin Bieksa\biekske01,26,VAN,D,34,449,521,46.3,-7.2,335,417,44.5,-10.2,7.3,90.3,97.6,53.7,46.3,23:24,16:34,16,39,153,41.8
49,Jason Blake\blakeja01,34,TOR,LW,82,1268,1034,55.1,3.6,954,787,54.8,2.7,8.1,90.5,98.6,51.5,48.5,17:48,14:19,42,63,536,61.9
50,Rob Blake*\blakero01,38,LAK,D,71,897,1164,43.5,-6.7,689,891,43.6,-6.1,7.9,89.7,97.7,45.1,54.9,22:44,15:21,21,58,276,52.2
51,Mike Blunden\blundmi01,21,CHI,RW,1,1,8,11.1,-35.0,0,5,0.0,-43.2,,80.0,,25.0,75.0,7:51,5:00,0,0,1,100.0
52,Brandon Bochenski\bochebr01,25,TOT,RW,40,389,329,54.2,6.4,290,259,52.8,6.3,7.0,95.8,102.8,48.8,51.2,11:57,10:02,19,8,99,56.6
53,Jared Boll\bollja01,21,CBJ,RW,75,430,423,50.4,-2.7,325,324,50.1,-2.7,6.0,92.5,98.5,46.7,53.3,8:01,7:41,12,9,98,64.3
54,Dave Bolland\bollada01,21,CHI,C,39,336,349,49.1,-5.0,283,273,50.9,-5.1,9.9,92.5,102.4,45.0,55.0,13:43,10:47,18,6,74,66.2
55,Radek Bonk\bonkra01,32,NSH,C,79,760,852,47.1,-4.5,580,671,46.4,-5.4,6.3,89.5,95.8,42.8,57.2,15:55,12:39,28,28,218,63.3
56,Derek Boogaard\boogade01,25,MIN,LW,34,88,121,42.1,-9.1,65,100,39.4,-10.9,2.0,91.9,93.9,65.8,34.2,3:50,3:45,0,3,11,54.5
57,David Booth\boothda01,23,FLA,LW,73,964,895,51.9,2.9,742,723,50.6,2.4,9.2,93.0,102.2,53.1,46.9,16:10,13:36,30,26,371,61.5
58,Darryl Bootland\bootlda01,26,NYI,RW,4,18,12,60.0,12.3,12,6,66.7,14.1,11.1,75.0,86.1,85.7,14.3,4:42,4:33,0,0,4,75.0
59,Casey Borer\borerca01,22,CAR,D,11,147,115,56.1,-4.3,111,88,55.8,-3.0,7.4,86.6,94.0,63.4,36.6,15:17,12:30,3,4,13,38.5
60,Pierre-Marc Bouchard\bouchpi02,23,MIN,RW,81,1016,858,54.2,5.7,755,688,52.3,4.5,9.3,93.4,102.7,48.5,51.5,16:40,12:53,31,37,256,50.4
61,Philippe Boucher\bouchph01,34,DAL,D,38,469,484,49.2,-4.8,362,356,50.4,-0.6,9.9,90.8,100.7,49.2,50.8,21:31,15:48,14,25,138,52.2
62,Francis Bouillon\bouilfr01,32,MTL,D,74,842,1030,45.0,-3.3,633,745,45.9,-0.9,9.2,92.9,102.1,50.4,49.6,17:20,14:19,22,36,131,45.8
63,Jesse Boulerice\bouleje01,29,PHI,RW,5,9,14,39.1,-14.0,4,13,23.5,-32.9,0.0,77.8,77.8,0.0,100.0,3:52,3:52,1,0,2,50.0
64,Eric Boulton\boulter01,31,ATL,LW,74,343,565,37.8,-7.9,279,437,39.0,-6.7,5.4,93.5,98.9,42.9,57.1,7:27,7:20,16,6,91,69.2
65,Luc Bourdon\bourdlu01,20,VAN,D,27,232,289,44.5,-12.0,170,224,43.1,-13.3,9.6,96.5,106.1,53.1,46.9,12:52,11:30,3,10,48,54.2
66,Chris Bourque\bourqch01,22,WSH,LW,4,35,26,57.4,16.4,22,18,55.0,13.6,0.0,100.0,100.0,68.8,31.3,8:42,7:34,0,0,7,57.1
